x-axis,MATH
Hertz,dBV
+47.0000E+03,-71.61083E+00
+47.5000E+03,-71.80614E+00
+48.0000E+03,-66.39598E+00
+48.5000E+03,-63.43700E+00
+49.0000E+03,-64.92138E+00
+49.5000E+03,-70.95653E+00
+50.0000E+03,-74.29638E+00
+50.5000E+03,-70.07763E+00
+51.0000E+03,-70.31200E+00
+51.5000E+03,-70.41942E+00
+52.0000E+03,-67.23583E+00
+52.5000E+03,-63.04638E+00
+53.0000E+03,-63.96434E+00
+53.5000E+03,-67.55809E+00
+54.0000E+03,-67.21630E+00
+54.5000E+03,-58.63231E+00
+55.0000E+03,-59.87255E+00
+55.5000E+03,-63.77880E+00
+56.0000E+03,-63.17333E+00
+56.5000E+03,-59.68700E+00
+57.0000E+03,-60.04833E+00
+57.5000E+03,-60.61473E+00
+58.0000E+03,-58.93505E+00
+58.5000E+03,-58.55419E+00
+59.0000E+03,-58.04638E+00
+59.5000E+03,-56.13231E+00
+60.0000E+03,-54.70653E+00
+60.5000E+03,-53.36864E+00
+61.0000E+03,-51.64013E+00
+61.5000E+03,-50.93700E+00
+62.0000E+03,-48.54442E+00
+62.5000E+03,-46.92333E+00
+63.0000E+03,-44.60888E+00
+63.5000E+03,-43.51513E+00
+64.0000E+03,-39.97997E+00
+64.5000E+03,-37.89989E+00
+65.0000E+03,-33.94481E+00
+65.5000E+03,-32.14794E+00
+66.0000E+03,-26.73778E+00
+66.5000E+03,-24.12059E+00
+67.0000E+03,-15.88817E+00
+67.5000E+03,-7.96825E+00
+68.0000E+03,+11.68019E+00
+68.5000E+03,+14.53175E+00
+69.0000E+03,+15.00050E+00
+69.5000E+03,+14.47316E+00
+70.0000E+03,+11.53370E+00
+70.5000E+03,+4.71730E+00
+71.0000E+03,-7.30419E+00
+71.5000E+03,-18.67138E+00
+72.0000E+03,-20.94677E+00
+72.5000E+03,-27.77294E+00
+73.0000E+03,-29.36473E+00
+73.5000E+03,-34.14013E+00
+74.0000E+03,-35.40966E+00
+74.5000E+03,-39.21825E+00
+75.0000E+03,-40.20458E+00
+75.5000E+03,-43.16356E+00
+76.0000E+03,-44.20848E+00
+76.5000E+03,-47.34325E+00
+77.0000E+03,-48.18309E+00
+77.5000E+03,-50.70263E+00
+78.0000E+03,-51.19091E+00
+78.5000E+03,-52.65575E+00
+79.0000E+03,-53.14403E+00
+79.5000E+03,-54.60888E+00
+80.0000E+03,-55.99559E+00
+80.5000E+03,-60.15575E+00
+81.0000E+03,-59.74559E+00
+81.5000E+03,-58.51513E+00
+82.0000E+03,-58.89598E+00
+82.5000E+03,-60.03856E+00
+83.0000E+03,-60.69286E+00
+83.5000E+03,-62.65575E+00
+84.0000E+03,-64.03270E+00
+84.5000E+03,-68.58348E+00
+85.0000E+03,-67.95848E+00
+85.5000E+03,-62.30419E+00
+86.0000E+03,-63.57372E+00
+86.5000E+03,-67.38231E+00
+87.0000E+03,-68.13427E+00
+87.5000E+03,-69.57958E+00
