time	V(n007)
0.000000000000000e+000	-1.739055e+000
6.757495749076803e-008	-1.739053e+000
2.027248724723041e-007	-1.739051e+000
4.730247024284373e-007	-1.739046e+000
7.587367024317060e-007	-1.739041e+000
1.044448702434975e-006	-1.739036e+000
1.330160702438243e-006	-1.739031e+000
1.615872702441512e-006	-1.739026e+000
1.901584702444781e-006	-1.739021e+000
2.187296702448049e-006	-1.739017e+000
2.473008702451318e-006	-1.739012e+000
2.758720702454587e-006	-1.739007e+000
3.044432702457856e-006	-1.739002e+000
3.330144702461124e-006	-1.738997e+000
3.615856702464393e-006	-1.738992e+000
3.901568702467662e-006	-1.738987e+000
4.187280702470930e-006	-1.738982e+000
4.472992702474199e-006	-1.738978e+000
4.758704702477468e-006	-1.738973e+000
5.044416702480736e-006	-1.738968e+000
5.330128702484005e-006	-1.738963e+000
5.615840702487274e-006	-1.738958e+000
5.901552702490542e-006	-1.738954e+000
6.187264702493811e-006	-1.738949e+000
6.472976702497080e-006	-1.738945e+000
6.576376562955622e-006	-1.738944e+000
6.643209679503548e-006	-1.738943e+000
6.691355677851396e-006	-1.738943e+000
6.733789511666199e-006	-1.738943e+000
6.779029545316007e-006	-1.738943e+000
6.844686680197720e-006	-1.738943e+000
6.915590582537434e-006	-1.738943e+000
7.057398387216862e-006	-1.738944e+000
7.203959600333987e-006	-1.738944e+000
7.440465907358751e-006	-1.738948e+000
7.686123530671607e-006	-1.738957e+000
7.971835530674876e-006	-1.738976e+000
8.257547530678144e-006	-1.739006e+000
8.426545917566974e-006	-1.739030e+000
8.567486352188680e-006	-1.739053e+000
8.694909871577450e-006	-1.739073e+000
8.854635044179549e-006	-1.739094e+000
8.989999414996119e-006	-1.739109e+000
9.109734904741429e-006	-1.739119e+000
9.240611432925761e-006	-1.739125e+000
9.431213615303247e-006	-1.739130e+000
9.611777753860962e-006	-1.739132e+000
9.897489753864230e-006	-1.739129e+000
9.991810188833550e-006	-1.739128e+000
1.004533283700815e-005	-1.739127e+000
1.012620826434940e-005	-1.739126e+000
1.021141751399168e-005	-1.739124e+000
1.038183601327625e-005	-1.739121e+000
1.064398310423459e-005	-1.739116e+000
1.088297576894159e-005	-1.739112e+000
1.116868776894486e-005	-1.739107e+000
1.145439976894813e-005	-1.739102e+000
1.174011176895140e-005	-1.739097e+000
1.202582376895467e-005	-1.739091e+000
1.231153576895794e-005	-1.739086e+000
1.259724776896121e-005	-1.739081e+000
1.288295976896448e-005	-1.739076e+000
1.316867176896774e-005	-1.739071e+000
1.345438376897101e-005	-1.739066e+000
1.374009576897428e-005	-1.739061e+000
1.402580776897755e-005	-1.739056e+000
1.431151976898082e-005	-1.739051e+000
1.459723176898409e-005	-1.739046e+000
1.488294376898736e-005	-1.739040e+000
1.516865576899062e-005	-1.739036e+000
1.545436776899389e-005	-1.739031e+000
1.574007976899716e-005	-1.739026e+000
1.602579176900043e-005	-1.739021e+000
1.631150376900370e-005	-1.739016e+000
1.659721576900697e-005	-1.739011e+000
1.688292776901024e-005	-1.739006e+000
1.716863976901351e-005	-1.739001e+000
1.745435176901677e-005	-1.738996e+000
1.774006376902004e-005	-1.738991e+000
1.802577576902331e-005	-1.738986e+000
1.831148776902658e-005	-1.738982e+000
1.859719976902985e-005	-1.738977e+000
1.888291176903312e-005	-1.738972e+000
1.916862376903639e-005	-1.738967e+000
1.945433576903966e-005	-1.738962e+000
1.974004776904292e-005	-1.738958e+000
2.002575976904619e-005	-1.738953e+000
2.031147176904946e-005	-1.738948e+000
2.059718376905273e-005	-1.738944e+000
2.071715808582564e-005	-1.738942e+000
2.079010578552587e-005	-1.738941e+000
2.083133454232333e-005	-1.738941e+000
2.087324831010623e-005	-1.738941e+000
2.091144412448565e-005	-1.738941e+000
2.095099039191306e-005	-1.738941e+000
2.100004789733212e-005	-1.738941e+000
2.105582847687637e-005	-1.738941e+000
2.115616585075114e-005	-1.738941e+000
2.125883460332712e-005	-1.738941e+000
2.146417210847906e-005	-1.738943e+000
2.165280834846156e-005	-1.738946e+000
2.193852034846483e-005	-1.738957e+000
2.222423234846810e-005	-1.738977e+000
2.250994434847137e-005	-1.739009e+000
2.267202723679751e-005	-1.739033e+000
2.283103542802950e-005	-1.739058e+000
2.297748987938053e-005	-1.739079e+000
2.312605812771623e-005	-1.739098e+000
2.324245325398266e-005	-1.739109e+000
2.338323917665253e-005	-1.739118e+000
2.351610483253275e-005	-1.739124e+000
2.369249141399854e-005	-1.739127e+000
2.391188126746324e-005	-1.739128e+000
2.419759326746651e-005	-1.739124e+000
2.426418354836701e-005	-1.739123e+000
2.431920891043243e-005	-1.739122e+000
2.439832520933355e-005	-1.739121e+000
2.455291024512640e-005	-1.739118e+000
2.472761396886403e-005	-1.739115e+000
2.496776046394950e-005	-1.739111e+000
2.525347246395276e-005	-1.739105e+000
2.553918446395603e-005	-1.739100e+000
2.582489646395930e-005	-1.739095e+000
2.611060846396257e-005	-1.739090e+000
2.639632046396584e-005	-1.739085e+000
2.668203246396911e-005	-1.739080e+000
2.696774446397238e-005	-1.739075e+000
2.725345646397565e-005	-1.739069e+000
2.753916846397891e-005	-1.739064e+000
2.782488046398218e-005	-1.739059e+000
2.811059246398545e-005	-1.739054e+000
2.839630446398872e-005	-1.739049e+000
2.868201646399199e-005	-1.739044e+000
2.896772846399526e-005	-1.739039e+000
2.925344046399853e-005	-1.739034e+000
2.953915246400179e-005	-1.739029e+000
2.982486446400506e-005	-1.739024e+000
3.011057646400833e-005	-1.739019e+000
3.039628846401160e-005	-1.739014e+000
3.068200046401487e-005	-1.739009e+000
3.096771246401814e-005	-1.739004e+000
3.125342446402141e-005	-1.738999e+000
3.153913646402468e-005	-1.738995e+000
3.182484846402794e-005	-1.738990e+000
3.211056046403121e-005	-1.738985e+000
3.239627246403448e-005	-1.738980e+000
3.268198446403775e-005	-1.738975e+000
3.296769646404102e-005	-1.738971e+000
3.325340846404429e-005	-1.738966e+000
3.353912046404756e-005	-1.738961e+000
3.382483246405083e-005	-1.738956e+000
3.411054446405409e-005	-1.738951e+000
3.439625646405736e-005	-1.738947e+000
3.468196846406063e-005	-1.738942e+000
3.487787600592318e-005	-1.738939e+000
3.495919212642001e-005	-1.738938e+000
3.504301342598798e-005	-1.738937e+000
3.507810247398158e-005	-1.738937e+000
3.512641248616666e-005	-1.738937e+000
3.516539675083030e-005	-1.738937e+000
3.521608351354094e-005	-1.738937e+000
3.527868236442855e-005	-1.738937e+000
3.534834662406727e-005	-1.738937e+000
3.548767514334472e-005	-1.738938e+000
3.563218804050056e-005	-1.738938e+000
3.586683006151503e-005	-1.738942e+000
3.611030773639778e-005	-1.738951e+000
3.639601973640105e-005	-1.738970e+000
3.668173173640432e-005	-1.739000e+000
3.685311148260428e-005	-1.739024e+000
3.699651660646341e-005	-1.739046e+000
3.712676222263761e-005	-1.739066e+000
3.729057217544823e-005	-1.739088e+000
3.742429319830709e-005	-1.739102e+000
3.754516572688355e-005	-1.739111e+000
3.767695143673533e-005	-1.739118e+000
3.785759069259431e-005	-1.739122e+000
3.805333694131829e-005	-1.739123e+000
3.833904894132156e-005	-1.739121e+000
3.842467307102471e-005	-1.739119e+000
3.847834354979429e-005	-1.739118e+000
3.856780135898241e-005	-1.739117e+000
3.865676459870876e-005	-1.739115e+000
3.883469107816839e-005	-1.739112e+000
3.904218785658747e-005	-1.739108e+000
3.931237086590017e-005	-1.739103e+000
3.959808286590344e-005	-1.739098e+000
3.988379486590671e-005	-1.739093e+000
4.016950686590998e-005	-1.739088e+000
4.045521886591325e-005	-1.739083e+000
4.074093086591651e-005	-1.739078e+000
4.102664286591978e-005	-1.739072e+000
4.131235486592305e-005	-1.739067e+000
4.159806686592632e-005	-1.739062e+000
4.188377886592959e-005	-1.739057e+000
4.216949086593286e-005	-1.739052e+000
4.245520286593613e-005	-1.739047e+000
4.274091486593939e-005	-1.739042e+000
4.302662686594266e-005	-1.739037e+000
4.331233886594593e-005	-1.739032e+000
4.359805086594920e-005	-1.739027e+000
4.388376286595247e-005	-1.739022e+000
4.416947486595574e-005	-1.739017e+000
4.445518686595901e-005	-1.739012e+000
4.474089886596228e-005	-1.739007e+000
4.502661086596554e-005	-1.739002e+000
4.531232286596881e-005	-1.738997e+000
4.559803486597208e-005	-1.738992e+000
4.588374686597535e-005	-1.738988e+000
4.616945886597862e-005	-1.738983e+000
4.645517086598189e-005	-1.738978e+000
4.674088286598516e-005	-1.738973e+000
4.702659486598843e-005	-1.738968e+000
4.731230686599169e-005	-1.738963e+000
4.759801886599496e-005	-1.738959e+000
4.788373086599823e-005	-1.738954e+000
4.816944286600150e-005	-1.738949e+000
4.845515486600477e-005	-1.738944e+000
4.874086686600804e-005	-1.738940e+000
4.902657886601131e-005	-1.738935e+000
4.914452317267282e-005	-1.738933e+000
4.921926760628748e-005	-1.738933e+000
4.925949565805915e-005	-1.738933e+000
4.930379234026339e-005	-1.738933e+000
4.934158204389361e-005	-1.738933e+000
4.938139784133044e-005	-1.738933e+000
4.943055930856088e-005	-1.738933e+000
4.948617920091936e-005	-1.738933e+000
4.959741898563630e-005	-1.738933e+000
4.969817137128602e-005	-1.738933e+000
4.989967614257851e-005	-1.738934e+000
5.009066326436967e-005	-1.738937e+000
5.037637526437294e-005	-1.738949e+000
5.066208726437621e-005	-1.738970e+000
5.094779926437948e-005	-1.739002e+000
5.111059215177904e-005	-1.739025e+000
5.126215222493735e-005	-1.739049e+000
5.141364660325026e-005	-1.739071e+000
5.155534705818254e-005	-1.739088e+000
5.166891985863842e-005	-1.739099e+000
5.180827696740081e-005	-1.739108e+000
5.194874308748348e-005	-1.739113e+000
5.212493727208695e-005	-1.739117e+000
5.236406844142533e-005	-1.739116e+000
5.259886531727015e-005	-1.739114e+000
5.266533693552150e-005	-1.739113e+000
5.272225269254555e-005	-1.739112e+000
