time	V(n005)
0.000000000000000e+000	1.223088e+001
1.345894766469069e-008	1.223836e+001
4.037684298713318e-008	1.225201e+001
9.421263363201815e-008	1.227287e+001
2.018842149217881e-007	1.228826e+001
4.172273775082669e-007	1.223288e+001
7.029393775115356e-007	1.202132e+001
8.992993575651642e-007	1.176982e+001
1.116324152887482e-006	1.136915e+001
1.402036152890751e-006	1.068706e+001
1.687748152894020e-006	9.845560e+000
1.973460152897288e-006	8.846863e+000
2.259172152900557e-006	7.706845e+000
2.544884152903826e-006	6.443615e+000
2.830596152907094e-006	5.077237e+000
3.116308152910363e-006	3.629435e+000
3.402020152913632e-006	2.123276e+000
3.687732152916901e-006	5.828416e-001
3.973444152920169e-006	-9.671341e-001
4.259156152923438e-006	-2.501639e+000
4.544868152926707e-006	-3.995794e+000
4.830580152929975e-006	-5.425281e+000
5.116292152933244e-006	-6.766787e+000
5.402004152936513e-006	-7.998451e+000
5.687716152939781e-006	-9.100287e+000
5.973428152943050e-006	-1.005457e+001
6.259140152946319e-006	-1.084617e+001
6.544852152949587e-006	-1.146279e+001
6.830564152952856e-006	-1.189516e+001
7.116276152956125e-006	-1.213711e+001
7.401988152959393e-006	-1.218562e+001
7.687700152962662e-006	-1.204073e+001
7.973412152965931e-006	-1.170548e+001
8.259124152969199e-006	-1.118579e+001
8.544836152972468e-006	-1.049028e+001
8.830548152975737e-006	-9.630163e+000
9.116260152979006e-006	-8.619007e+000
9.401972152982274e-006	-7.472585e+000
9.687684152985543e-006	-6.208642e+000
9.973396152988812e-006	-4.846665e+000
1.025910815299208e-005	-3.407635e+000
1.054482015299535e-005	-1.913752e+000
1.083053215299862e-005	-3.881499e-001
1.111624415300189e-005	1.145415e+000
1.140195615300516e-005	2.662900e+000
1.168766815300842e-005	4.140333e+000
1.197338015301169e-005	5.554193e+000
1.225909215301496e-005	6.881807e+000
1.254480415301823e-005	8.101749e+000
1.283051615302150e-005	9.194223e+000
1.311622815302477e-005	1.014128e+001
1.340194015302804e-005	1.092603e+001
1.368765215303130e-005	1.156680e+001
1.377611507460269e-005	1.172891e+001
