time	V(n003)
0.000000000000000e+000	-4.012537e+000
1.958984597733027e-007	-3.354991e+000
4.197824137949779e-007	-2.574071e+000
7.054944137982466e-007	-1.548523e+000
9.912064138015153e-007	-5.008223e-001
1.276918413804784e-006	5.545517e-001
1.562630413808053e-006	1.600356e+000
1.848342413811321e-006	2.619455e+000
2.134054413814590e-006	3.595109e+000
2.419766413817859e-006	4.511272e+000
2.705478413821127e-006	5.352897e+000
2.991190413824396e-006	6.106225e+000
3.276902413827665e-006	6.759074e+000
3.562614413830934e-006	7.301090e+000
3.848326413834202e-006	7.723955e+000
4.134038413837471e-006	8.021522e+000
4.419750413840740e-006	8.189855e+000
4.705462413844008e-006	8.227191e+000
4.991174413847277e-006	8.133825e+000
5.276886413850546e-006	7.911977e+000
5.562598413853814e-006	7.565672e+000
5.848310413857083e-006	7.100660e+000
6.134022413860352e-006	6.524349e+000
6.419734413863620e-006	5.845737e+000
6.705446413866889e-006	5.075323e+000
6.991158413870158e-006	4.224987e+000
7.276870413873426e-006	3.307836e+000
7.562582413876695e-006	2.338029e+000
7.848294413879964e-006	1.330580e+000
8.134006413883232e-006	3.011436e-001
8.419718413886501e-006	-7.342132e-001
8.705430413889770e-006	-1.759246e+000
8.991142413893039e-006	-2.757781e+000
9.276854413896307e-006	-3.713963e+000
9.562566413899576e-006	-4.612508e+000
9.848278413902845e-006	-5.442872e+000
1.008414932923696e-005	-6.075166e+000
1.017479737418225e-005	-6.299628e+000
1.036421311855634e-005	-6.730501e+000
1.045139142125812e-005	-6.910303e+000
1.061622056816591e-005	-7.215245e+000
1.090193256816918e-005	-7.658810e+000
1.118764456817245e-005	-7.992333e+000
1.147335656817572e-005	-8.198282e+000
1.175906856817899e-005	-8.273071e+000
1.204478056818226e-005	-8.215274e+000
1.233049256818553e-005	-8.025637e+000
1.261620456818879e-005	-7.707061e+000
1.290191656819206e-005	-7.264528e+000
1.318762856819533e-005	-6.718210e+000
1.333062731633666e-005	-6.403688e+000
1.344935038279094e-005	-6.116671e+000
1.356789937643349e-005	-5.812805e+000
1.366169946952905e-005	-5.560681e+000
1.376066597700426e-005	-5.282385e+000
1.390493232385215e-005	-4.854517e+000
1.418994882344815e-005	-3.957871e+000
1.447566082345142e-005	-3.005442e+000
1.476137282345469e-005	-2.004670e+000
1.504708482345796e-005	-9.717444e-001
1.533279682346123e-005	7.653254e-002
1.561850882346449e-005	1.123059e+000
1.590422082346776e-005	2.150711e+000
1.618993282347103e-005	3.142627e+000
1.647564482347430e-005	4.082505e+000
1.676135682347757e-005	4.954895e+000
1.704706882348084e-005	5.745502e+000
1.733278082348411e-005	6.441471e+000
1.761849282348738e-005	7.031656e+000
1.790420482349064e-005	7.506845e+000
1.818991682349391e-005	7.859929e+000
1.847562882349718e-005	8.085990e+000
1.876134082350045e-005	8.182295e+000
1.904705282350372e-005	8.148215e+000
1.933276482350699e-005	7.985096e+000
1.961847682351026e-005	7.696135e+000
1.990418882351352e-005	7.286282e+000
2.018990082351679e-005	6.762167e+000
2.047561282352006e-005	6.132038e+000
2.076132482352333e-005	5.405680e+000
2.104703682352660e-005	4.594307e+000
2.133274882352987e-005	3.710430e+000
2.161846082353314e-005	2.767684e+000
2.190417282353641e-005	1.780649e+000
2.218988482353967e-005	7.646353e-001
2.247559682354294e-005	-2.645289e-001
2.276130882354621e-005	-1.290734e+000
2.304702082354948e-005	-2.297830e+000
2.333273282355275e-005	-3.269870e+000
2.361844482355602e-005	-4.191365e+000
2.390415682355929e-005	-5.047530e+000
2.418986882356256e-005	-5.838593e+000
2.430428036374888e-005	-6.132023e+000
2.438523935998499e-005	-6.325997e+000
2.448617420183069e-005	-6.556671e+000
2.455171729274369e-005	-6.699263e+000
2.465505009787566e-005	-6.911273e+000
2.476740317738924e-005	-7.122376e+000
2.499210933640944e-005	-7.486467e+000
2.527782133641271e-005	-7.852948e+000
2.556353333641598e-005	-8.100394e+000
2.584924533641925e-005	-8.218338e+000
2.613495733642252e-005	-8.204643e+000
2.642066933642578e-005	-8.059333e+000
2.670638133642905e-005	-7.784587e+000
2.699209333643232e-005	-7.384684e+000
2.727780533643559e-005	-6.875600e+000
2.746079034908477e-005	-6.493123e+000
2.758832135231482e-005	-6.196055e+000
2.771260761005173e-005	-5.885800e+000
2.781086643992292e-005	-5.627495e+000
2.791074099656871e-005	-5.352571e+000
2.803465383498238e-005	-4.993577e+000
2.828032410280568e-005	-4.239245e+000
2.856603610280895e-005	-3.308732e+000
2.885174810281221e-005	-2.327537e+000
2.913746010281548e-005	-1.308945e+000
2.942317210281875e-005	-2.695103e-001
2.970888410282202e-005	7.738271e-001
2.999459610282529e-005	1.804013e+000
3.028030810282856e-005	2.804162e+000
3.056602010283183e-005	3.757844e+000
3.085173210283509e-005	4.649385e+000
3.113744410283836e-005	5.464159e+000
3.142315610284163e-005	6.188880e+000
3.170886810284490e-005	6.811874e+000
3.199458010284817e-005	7.323319e+000
3.228029210285144e-005	7.715437e+000
3.256600410285471e-005	7.982603e+000
3.285171610285798e-005	8.121374e+000
