time	V(n003)
0.000000000000000e+000	6.077793e+000
8.508617872077240e-008	6.080730e+000
2.552585361623172e-007	6.064121e+000
5.409705361655859e-007	5.969338e+000
8.266825361688546e-007	5.789522e+000
1.112394536172123e-006	5.517921e+000
1.398106536175392e-006	5.158983e+000
1.683818536178661e-006	4.718461e+000
1.969530536181929e-006	4.203328e+000
2.255242536185198e-006	3.621675e+000
2.540954536188467e-006	2.982605e+000
2.826666536191735e-006	2.296104e+000
3.112378536195004e-006	1.572899e+000
3.398090536198273e-006	8.243049e-001
3.683802536201541e-006	6.206121e-002
3.969514536204810e-006	-7.018439e-001
4.255226536208079e-006	-1.455353e+000
4.540938536211348e-006	-2.186526e+000
4.826650536214616e-006	-2.883725e+000
5.112362536217885e-006	-3.535801e+000
5.398074536221154e-006	-4.132274e+000
5.683786536224422e-006	-4.663509e+000
5.969498536227691e-006	-5.120865e+000
6.255210536230960e-006	-5.501624e+000
6.469442956888449e-006	-5.732472e+000
6.627064484794609e-006	-5.870903e+000
6.711751803820110e-006	-5.933192e+000
6.810415722764696e-006	-5.993634e+000
6.902333940336791e-006	-6.038630e+000
7.020609319091653e-006	-6.078863e+000
7.199701941629222e-006	-6.107392e+000
7.407481002613681e-006	-6.090880e+000
7.693193002616949e-006	-5.989597e+000
7.936237034857074e-006	-5.831381e+000
8.204448359805383e-006	-5.575775e+000
8.460367647913913e-006	-5.258057e+000
8.746079647917182e-006	-4.822557e+000
9.031791647920451e-006	-4.311634e+000
9.317503647923719e-006	-3.731202e+000
9.603215647926988e-006	-3.090599e+000
9.888927647930257e-006	-2.400156e+000
1.017463964793353e-005	-1.671030e+000
1.046035164793679e-005	-9.150208e-001
1.074606364794006e-005	-1.443881e-001
1.103177564794333e-005	6.283546e-001
1.131748764794660e-005	1.390644e+000
1.160319964794987e-005	2.130078e+000
1.188891164795314e-005	2.834626e+000
1.217462364795641e-005	3.492843e+000
1.246033564795968e-005	4.094066e+000
1.274604764796294e-005	4.628607e+000
1.303175964796621e-005	5.087928e+000
1.331747164796948e-005	5.464783e+000
1.360318364797275e-005	5.753336e+000
1.388889564797602e-005	5.949243e+000
1.417460764797929e-005	6.049695e+000
1.446031964798256e-005	6.053429e+000
1.474603164798582e-005	5.960708e+000
1.503174364798909e-005	5.773287e+000
1.531745564799236e-005	5.494353e+000
1.560316764799563e-005	5.128466e+000
1.588887964799890e-005	4.681482e+000
1.617459164800217e-005	4.160470e+000
1.646030364800544e-005	3.573609e+000
1.674601564800871e-005	2.930083e+000
1.703172764801197e-005	2.239946e+000
1.731743964801524e-005	1.513983e+000
1.760315164801851e-005	7.635531e-001
1.788886364802178e-005	4.279342e-004
1.817457564802505e-005	-7.633882e-001
1.846028764802832e-005	-1.515837e+000
1.874599964803159e-005	-2.244988e+000
1.903171164803486e-005	-2.939234e+000
1.931742364803812e-005	-3.587466e+000
1.960313564804139e-005	-4.179264e+000
1.988884764804466e-005	-4.705065e+000
2.017455964804793e-005	-5.156299e+000
2.046027164805120e-005	-5.532827e+000
2.064225086138849e-005	-5.728141e+000
2.078647410194007e-005	-5.856143e+000
2.086553734169383e-005	-5.916420e+000
2.095957149251398e-005	-5.977175e+000
2.115825786125347e-005	-6.068645e+000
2.131710879025445e-005	-6.105677e+000
2.148018068043323e-005	-6.110794e+000
2.172610761481952e-005	-6.055218e+000
2.201181961482279e-005	-5.907255e+000
2.229753161482606e-005	-5.669645e+000
2.256006927432719e-005	-5.369202e+000
2.284578127433046e-005	-4.957769e+000
2.313149327433373e-005	-4.468269e+000
2.341720527433699e-005	-3.906746e+000
2.370291727434026e-005	-3.282226e+000
2.398862927434353e-005	-2.604774e+000
2.427434127434680e-005	-1.885330e+000
2.456005327435007e-005	-1.135533e+000
2.484576527435334e-005	-3.675341e-001
2.513147727435661e-005	4.061996e-001
2.541718927435988e-005	1.173093e+000
2.570290127436314e-005	1.920670e+000
2.598861327436641e-005	2.636767e+000
2.627432527436968e-005	3.309744e+000
2.656003727437295e-005	3.928688e+000
2.684574927437622e-005	4.483606e+000
2.713146127437949e-005	4.965611e+000
2.741717327438276e-005	5.367066e+000
2.770288527438602e-005	5.681717e+000
2.798859727438929e-005	5.904781e+000
2.827430927439256e-005	6.033004e+000
2.856002127439583e-005	6.064677e+000
2.884573327439910e-005	5.999628e+000
2.913144527440237e-005	5.839185e+000
2.941715727440564e-005	5.586129e+000
2.970286927440891e-005	5.244634e+000
2.998858127441217e-005	4.820193e+000
3.027429327441544e-005	4.319541e+000
3.056000527441871e-005	3.750546e+000
3.084571727442198e-005	3.122119e+000
3.113142927442525e-005	2.444081e+000
3.141714127442852e-005	1.727025e+000
3.170285327443179e-005	9.821669e-001
3.198856527443506e-005	2.211800e-001
3.227427727443832e-005	-5.439750e-001
3.255998927444159e-005	-1.301231e+000
3.284570127444486e-005	-2.038599e+000
3.313141327444813e-005	-2.744352e+000
3.341712527445140e-005	-3.407217e+000
3.370283727445467e-005	-4.016551e+000
3.398854927445794e-005	-4.562523e+000
3.427426127446120e-005	-5.036273e+000
3.455997327446447e-005	-5.433501e+000
3.479472848533921e-005	-5.694505e+000
3.502890540672821e-005	-5.901413e+000
3.511640358930257e-005	-5.963964e+000
3.520958287958620e-005	-6.016848e+000
3.531068893630057e-005	-6.061984e+000
3.540754462053042e-005	-6.093056e+000
3.552554364795457e-005	-6.114892e+000
3.565742439893410e-005	-6.119775e+000
3.580107134330129e-005	-6.099776e+000
3.598997618284999e-005	-6.035629e+000
3.619080180085332e-005	-5.922755e+000
3.640553304823380e-005	-5.751469e+000
3.660969813821385e-005	-5.536530e+000
3.689541013821712e-005	-5.159456e+000
3.718112213822039e-005	-4.705786e+000
3.746683413822366e-005	-4.176282e+000
3.775254613822693e-005	-3.579444e+000
3.803825813823020e-005	-2.924883e+000
3.832397013823347e-005	-2.223156e+000
3.860968213823673e-005	-1.485609e+000
3.889539413824000e-005	-7.241839e-001
3.918110613824327e-005	4.876710e-002
3.946681813824654e-005	8.206885e-001
3.975253013824981e-005	1.579027e+000
4.003824213825308e-005	2.311444e+000
4.032395413825635e-005	3.006026e+000
4.060966613825962e-005	3.651495e+000
4.089537813826288e-005	4.237404e+000
4.118109013826615e-005	4.754333e+000
4.146680213826942e-005	5.194044e+000
4.175251413827269e-005	5.549629e+000
4.203822613827596e-005	5.815614e+000
4.232393813827923e-005	5.988033e+000
4.260965013828250e-005	6.064462e+000
4.289536213828576e-005	6.044021e+000
4.318107413828903e-005	5.927351e+000
4.346678613829230e-005	5.716571e+000
4.375249813829557e-005	5.415222e+000
4.403821013829884e-005	5.028196e+000
4.432392213830211e-005	4.561666e+000
4.460963413830538e-005	4.022994e+000
4.489534613830865e-005	3.420627e+000
4.518105813831191e-005	2.763986e+000
4.546677013831518e-005	2.063328e+000
4.575248213831845e-005	1.329604e+000
4.603819413832172e-005	5.743033e-001
4.632390613832499e-005	-1.907210e-001
4.660961813832826e-005	-9.534235e-001
4.689533013833153e-005	-1.701751e+000
4.718104213833479e-005	-2.423828e+000
4.746675413833806e-005	-3.108144e+000
4.775246613834133e-005	-3.743739e+000
4.803817813834460e-005	-4.320381e+000
4.832389013834787e-005	-4.828738e+000
4.860960213835114e-005	-5.260414e+000
4.889531413835441e-005	-5.615860e+000
4.906866333165977e-005	-5.791941e+000
4.915604190876277e-005	-5.865661e+000
4.927002851867063e-005	-5.948439e+000
4.935328487935126e-005	-5.999238e+000
4.945915976340559e-005	-6.049971e+000
4.958001082414065e-005	-6.087536e+000
4.982171294560384e-005	-6.109718e+000
5.007663183705796e-005	-6.063620e+000
5.036234383706123e-005	-5.928257e+000
5.055822028391527e-005	-5.779713e+000
5.079264690836111e-005	-5.536465e+000
5.106025121214691e-005	-5.187631e+000
5.134596321215018e-005	-4.737236e+000
5.163167521215345e-005	-4.211873e+000
5.191738721215672e-005	-3.618606e+000
5.220309921215999e-005	-2.966982e+000
5.248881121216326e-005	-2.267514e+000
5.277452321216652e-005	-1.531508e+000
5.306023521216979e-005	-7.708809e-001
5.334594721217306e-005	2.029905e-003
5.363165921217633e-005	7.746708e-001
5.391737121217960e-005	1.534478e+000
5.420308321218287e-005	2.269088e+000
5.448879521218614e-005	2.966551e+000
5.477450721218941e-005	3.615539e+000
5.506021921219267e-005	4.205549e+000
5.534593121219594e-005	4.727086e+000
5.563164321219921e-005	5.171836e+000
5.591735521220248e-005	5.532804e+000
5.620306721220575e-005	5.804425e+000
5.648877921220902e-005	5.982638e+000
5.677449121221229e-005	6.064924e+000
5.706020321221555e-005	6.050314e+000
5.734591521221882e-005	5.939362e+000
5.763162721222209e-005	5.734095e+000
5.791733921222536e-005	5.437969e+000
5.820305121222863e-005	5.055803e+000
5.848876321223190e-005	4.593696e+000
5.877447521223517e-005	4.058942e+000
5.906018721223844e-005	3.459933e+000
5.934589921224170e-005	2.806034e+000
5.963161121224497e-005	2.107461e+000
5.991732321224824e-005	1.375133e+000
6.020303521225151e-005	6.205136e-001
6.048874721225478e-005	-1.445562e-001
6.077445921225805e-005	-9.080327e-001
6.106017121226132e-005	-1.657853e+000
6.134588321226459e-005	-2.382123e+000
6.163159521226785e-005	-3.069298e+000
6.191730721227112e-005	-3.708376e+000
6.220301921227439e-005	-4.289073e+000
6.248873121227766e-005	-4.801994e+000
6.277444321228093e-005	-5.238704e+000
6.306015521228420e-005	-5.598636e+000
6.324595263001304e-005	-5.789376e+000
6.333981816721013e-005	-5.868832e+000
6.346252014306081e-005	-5.957191e+000
6.354845939093856e-005	-6.008889e+000
6.364468167835424e-005	-6.052940e+000
6.380596460170418e-005	-6.101629e+000
6.397273534668874e-005	-6.118300e+000
6.421533824028242e-005	-6.079779e+000
6.450105024028568e-005	-5.954002e+000
6.474514398548820e-005	-5.773593e+000
6.499041515273252e-005	-5.520615e+000
6.524278996765387e-005	-5.190047e+000
6.552850196765714e-005	-4.738185e+000
6.581421396766041e-005	-4.212491e+000
6.609992596766368e-005	-3.618882e+000
6.638563796766694e-005	-2.966913e+000
6.667134996767021e-005	-2.267100e+000
6.695706196767348e-005	-1.530756e+000
6.724277396767675e-005	-7.698030e-001
6.752848596768002e-005	3.415951e-003
6.781419796768329e-005	7.763422e-001
6.809990996768656e-005	1.536407e+000
6.838562196768983e-005	2.271243e+000
6.867133396769309e-005	2.968896e+000
6.895704596769636e-005	3.618036e+000
6.924275796769963e-005	4.208156e+000
6.952846996770290e-005	4.729761e+000
6.981418196770617e-005	5.174535e+000
7.009989396770944e-005	5.535482e+000
7.038560596771271e-005	5.807040e+000
7.067131796771597e-005	5.985149e+000
7.095702996771924e-005	6.067294e+000
7.124274196772251e-005	6.060956e+000
7.142799999999838e-005	6.014963e+000
